,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
544,2021-03-05 00:00:00+00:00,48385.77,49470.00,46320.00,48770.57,354602.756,2021-03-05 23:59:59.999000+00:00,16912469978.52838,3864290,175791.280,8385994290.72248,0
545,2021-03-06 00:00:00+00:00,48772.68,49253.63,47090.00,48908.21,215092.910,2021-03-06 23:59:59.999000+00:00,10381734354.30114,2557063,106587.185,5145716456.27842,0
546,2021-03-07 00:00:00+00:00,48908.21,51480.00,48908.21,50995.27,248398.116,2021-03-07 23:59:59.999000+00:00,12500440245.10043,2883079,125296.257,6305916043.13975,0
547,2021-03-08 00:00:00+00:00,50991.35,52450.00,49310.00,52429.43,308339.866,2021-03-08 23:59:59.999000+00:00,15655716338.59208,3279581,155092.510,7877090707.62844,0
548,2021-03-09 00:00:00+00:00,52429.43,54950.00,51880.00,54917.78,285604.798,2021-03-09 23:59:59.999000+00:00,15409273884.44570,3312320,140878.102,7601587041.40018,0
549,2021-03-10 00:00:00+00:00,54917.78,57500.92,53061.00,55947.98,401159.493,2021-03-10 23:59:59.999000+00:00,22279865576.81882,4457083,197030.813,10945834708.32220,0
550,2021-03-11 00:00:00+00:00,55949.30,58283.00,54356.44,57844.52,364681.318,2021-03-11 23:59:59.999000+00:00,20569039537.45370,4355363,177889.476,10037536966.99869,0
551,2021-03-12 00:00:00+00:00,57842.64,58186.33,55074.30,57291.03,335495.042,2021-03-12 23:59:59.999000+00:00,19043301948.53840,4054963,163059.636,9258204347.64983,0
552,2021-03-13 00:00:00+00:00,57291.04,61950.00,56136.00,61267.41,320322.173,2021-03-13 23:59:59.999000+00:00,18993462517.01946,3901445,163088.218,9672335710.00012,0
553,2021-03-14 00:00:00+00:00,61267.41,61798.00,59005.00,59037.12,231991.901,2021-03-14 23:59:59.999000+00:00,14012489135.14827,2783273,111414.603,6732127310.64745,0
554,2021-03-15 00:00:00+00:00,59037.11,60740.00,54517.28,55646.61,448820.830,2021-03-15 23:59:59.999000+00:00,25683051451.71488,4839296,216862.556,12413877922.53143,0
555,2021-03-16 00:00:00+00:00,55646.61,56988.00,53335.00,56954.19,339718.202,2021-03-16 23:59:59.999000+00:00,18756792660.06864,4041818,167192.901,9235749666.02367,0
556,2021-03-17 00:00:00+00:00,56953.23,59078.79,54154.93,58959.00,339397.712,2021-03-17 23:59:59.999000+00:00,19076274044.57065,3916228,168453.582,9472373944.11505,0
557,2021-03-18 00:00:00+00:00,58959.01,60510.00,57072.00,57700.01,305100.026,2021-03-18 23:59:59.999000+00:00,17876750420.56641,3505186,146854.697,8607128783.55504,0
558,2021-03-19 00:00:00+00:00,57700.01,59550.00,56301.27,58089.11,259039.479,2021-03-19 23:59:59.999000+00:00,15107378224.02806,3136922,128071.253,7471941657.80573,0
